datetime,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735660800000,0.8697,0.8724,0.8638,0.8676,4195729.9,1735664399000,3643058.43275,9438,2062343.8,1791609.87138,0.0
1735664400000,0.8677,0.8679,0.8414,0.8513,7802055.3,1735667999000,6652875.26831,18916,3697269.0,3151381.30713,0.0
1735668000000,0.8512,0.8554,0.8475,0.8493,4208725.0,1735671599000,3582448.5876,8823,2145124.2,1825860.59218,0.0
1735671600000,0.8492,0.8513,0.846,0.8494,2185626.2,1735675199000,1855341.89713,5470,1091082.5,926404.71319,0.0
1735675200000,0.8493,0.8529,0.8469,0.849,1920883.1,1735678799000,1631946.22495,5093,1074281.2,912942.78722,0.0
1735678800000,0.8489,0.8552,0.8469,0.8523,2733898.1,1735682399000,2326780.14856,6216,1818042.5,1547383.99893,0.0
1735682400000,0.8522,0.8524,0.8435,0.8443,2720327.1,1735685999000,2303908.52705,5456,1242722.4,1052306.61941,0.0
1735686000000,0.8442,0.8467,0.8423,0.8451,2176810.8,1735689599000,1838094.91421,6516,1390152.8,1173832.01115,0.0
1735689600000,0.845,0.8608,0.8438,0.8596,3433981.2,1735693199000,2930683.50295,8996,2147684.0,1833131.65447,0.0
1735693200000,0.8595,0.8596,0.8524,0.8529,2230725.2,1735696799000,1909260.17825,5903,994215.9,850828.01872,0.0
1735696800000,0.8528,0.8582,0.8522,0.8571,1902153.5,1735700399000,1626023.2233,5274,963925.3,824114.11476,0.0
1735700400000,0.8571,0.8573,0.8511,0.8522,1959686.0,1735703999000,1672000.87372,4497,889840.2,759229.51353,0.0
1735704000000,0.8522,0.8547,0.849,0.8491,3011071.8,1735707599000,2564339.98668,6665,1463844.4,1247171.86384,0.0
1735707600000,0.849,0.8592,0.8485,0.8561,3184472.4,1735711199000,2720618.33749,6995,1458624.9,1246279.51348,0.0
1735711200000,0.8561,0.858,0.8527,0.8574,1693306.1,1735714799000,1448931.55115,5536,828809.8,709247.83535,0.0
1735714800000,0.8573,0.8595,0.8511,0.8518,3288249.7,1735718399000,2815753.82316,7048,1340311.2,1147840.66487,0.0
1735718400000,0.8519,0.8552,0.8461,0.8467,2417880.2,1735721999000,2054447.08468,7028,1025128.8,871554.22451,0.0
1735722000000,0.8468,0.8496,0.838,0.8462,6319431.5,1735725599000,5323282.37314,13679,3275778.9,2758461.97766,0.0
1735725600000,0.8462,0.8503,0.8437,0.8441,2079091.7,1735729199000,1759829.94131,6658,901769.3,763457.82042,0.0
1735729200000,0.8441,0.8565,0.8416,0.8532,4254130.0,1735732799000,3616819.60993,10020,2071122.1,1761270.51416,0.0
1735732800000,0.8532,0.8679,0.8529,0.8657,6048971.7,1735736399000,5209149.43398,16116,2855600.5,2459839.79647,0.0
1735736400000,0.8656,0.8707,0.8614,0.8649,5169998.2,1735739999000,4477782.06163,15707,2605871.9,2257698.14079,0.0
1735740000000,0.865,0.8714,0.859,0.8648,5161618.2,1735743599000,4468242.72322,13369,2925782.8,2533266.8781,0.0
1735743600000,0.8648,0.8787,0.8612,0.877,6301928.5,1735747199000,5491372.34318,15854,3769865.6,3285896.88513,0.0
1735747200000,0.877,0.8932,0.876,0.8893,20038457.3,1735750799000,17780016.27283,47439,9470100.8,8405273.78566,0.0
1735750800000,0.8894,0.892,0.8772,0.8887,8289525.0,1735754399000,7329497.22563,22996,3374264.9,2981266.58352,0.0
1735754400000,0.8888,0.9248,0.8837,0.9218,15912418.3,1735757999000,14392546.15606,39163,8690234.8,7871677.562,0.0
1735758000000,0.9217,0.9355,0.9093,0.9172,20980105.9,1735761599000,19351796.22247,48836,9769892.5,9017793.07921,0.0
1735761600000,0.9173,0.9324,0.9173,0.9205,16549202.2,1735765199000,15292835.99743,31371,6066991.2,5611126.41537,0.0
1735765200000,0.9206,0.9253,0.915,0.919,16976316.9,1735768799000,15615598.07462,26309,6046803.7,5561365.17937,0.0
1735768800000,0.9189,0.9246,0.9112,0.9213,10512086.0,1735772399000,9628273.92904,16902,4702146.8,4311459.41483,0.0
1735772400000,0.9213,0.9234,0.914,0.9222,4146509.8,1735775999000,3808617.03384,11735,1946228.2,1788805.24096,0.0
1735776000000,0.9222,0.9543,0.9222,0.9456,19710573.4,1735779599000,18574041.2552,53232,10893969.7,10256595.38776,0.0
1735779600000,0.9455,0.9555,0.9436,0.9466,11166535.2,1735783199000,10605230.6073,26813,6139387.1,5832790.60206,0.0
1735783200000,0.9466,0.9471,0.9386,0.9419,6054349.1,1735786799000,5702270.11617,16722,2699910.0,2542892.22525,0.0
1735786800000,0.942,0.9448,0.9398,0.9421,2945809.2,1735790399000,2775176.93582,10398,1424869.7,1342585.61036,0.0
1735790400000,0.9421,0.9495,0.9358,0.9447,5296612.4,1735793999000,4993389.49568,16421,2708372.3,2554026.11251,0.0
1735794000000,0.9448,0.945,0.9303,0.9327,4520973.7,1735797599000,4239012.87606,15327,2016599.8,1890558.89016,0.0
1735797600000,0.9327,0.9347,0.9245,0.9273,7346614.7,1735801199000,6826034.11757,16399,3161688.4,2937235.05736,0.0
1735801200000,0.9272,0.9351,0.9252,0.9335,5071060.0,1735804799000,4720692.46645,11335,2345641.3,2183647.50996,0.0
1735804800000,0.9335,0.9369,0.9288,0.9361,3836409.9,1735808399000,3577415.54432,11553,2158781.1,2013962.51967,0.0
1735808400000,0.9361,0.9499,0.9349,0.949,9912051.2,1735811999000,9355913.70511,19986,5665485.2,5348445.00939,0.0
1735812000000,0.949,0.9721,0.9477,0.9666,23527443.7,1735815599000,22611319.33771,43275,14956703.1,14379777.58297,0.0
1735815600000,0.9666,0.9729,0.9571,0.9709,11320322.3,1735819199000,10910006.25894,24086,6468044.8,6235827.1193,0.0
1735819200000,0.971,0.9828,0.9673,0.973,14269770.6,1735822799000,13919128.27086,34633,7467981.7,7290240.95479,0.0
