datetime,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1509926400000,1.5,1.799,0.5,1.571,120615.34,1510012799999,192128.335549,918,47088.92,76279.89318,0
1510012800000,1.571,1.8,1.5389,1.8,134129.73,1510099199999,224771.730969,851,77740.95,130637.808431,0
1510099200000,1.7901,1.99,1.7479,1.9889,347290.26,1510185599999,661188.791512,2124,187899.67,362665.422644,0
1510185600000,1.9781,2.1997,1.9,1.99,287037.2,1510271999999,585812.825704,1332,148065.7,303358.286789,0
1510272000000,1.99,2.02,1.6019,1.7133,484658.9,1510358399999,885876.8652,1761,169341.17,313532.530513,0
1510358400000,1.79,1.925,1.58,1.655,258838.37,1510444799999,452345.770169,1223,80833.37,146303.425317,0
1510444800000,1.6567,1.7,1.34,1.49,457159.72,1510531199999,704902.989639,1783,134384.19,207464.632932,0
1510531200000,1.5,1.7381,1.5,1.68,166770.73,1510617599999,273596.323188,1296,89168.73,147077.895676,0
1510617600000,1.6801,1.7381,1.5321,1.5911,177246.45,1510703999999,285855.4757,1112,54519.4,88973.495528,0
1510704000000,1.5721,1.6794,1.49,1.5532,297638.34,1510790399999,460183.52253,1625,49132.6,77668.356127,0
1510790400000,1.5533,1.6699,1.511,1.5599,198029.66,1510876799999,315953.88804,1392,92484.73,148772.789123,0
1510876800000,1.5599,1.5765,1.49,1.5041,419446.58,1510963199999,640592.380726,1372,91546.97,140599.156387,0
1510963200000,1.5041,1.6699,1.492,1.6699,172099.86,1511049599999,270253.427936,914,101676.87,161314.198884,0
1511049600000,1.6524,1.6948,1.575,1.6,179701.62,1511135999999,294879.465206,969,85933.78,142094.325997,0
1511136000000,1.6,1.6522,1.5605,1.64,159737.16,1511222399999,257135.103704,867,63221.73,102395.92117,0
1511222400000,1.6257,1.6419,1.54,1.5874,413447.37,1511308799999,653820.950625,1362,175919.81,278363.139625,0
1511308800000,1.5728,1.6211,1.5556,1.6158,196457.62,1511395199999,311505.227801,987,80232.13,127675.931954,0
1511395200000,1.6,1.618,1.5388,1.57,184458.49,1511481599999,289488.771316,1076,59253.54,93386.617325,0
1511481600000,1.5644,1.8187,1.54,1.7292,644218.58,1511567999999,1080205.326803,2913,304099.24,510174.257163,0
1511568000000,1.712,1.9588,1.68,1.87,475443.08,1511654399999,856432.449549,2082,253533.97,460998.377473,0
1511654400000,1.85,1.91,1.76,1.8388,193666.26,1511740799999,359756.024918,1158,104989.64,196618.769481,0
1511740800000,1.8388,1.9532,1.74,1.9532,480695.73,1511827199999,877871.738231,2144,238904.3,439279.530828,0
1511827200000,1.945,1.9532,1.801,1.9249,359515.94,1511913599999,677548.274444,1245,190125.05,360085.875726,0
1511913600000,1.9248,2.0486,1.55,1.7565,935739.25,1511999999999,1734093.398532,5050,433746.49,815204.124711,0
1512000000000,1.7641,2.038,1.71,1.95,748118.06,1512086399999,1410818.441963,3988,437620.36,833545.135205,0
1512086400000,1.95,2.1385,1.8801,2.0527,321456.28,1512172799999,650183.351446,2307,203762.85,413887.715145,0
1512172800000,2.0526,2.1199,1.975,2.0797,241150.68,1512259199999,495787.768605,1776,87909.14,181755.770468,0
1512259200000,2.0797,2.4,2.0438,2.2617,346006.6,1512345599999,764734.634109,3928,202747.5,447002.132665,0
1512345600000,2.2617,2.5898,2.2617,2.55,384958.49,1512431999999,945326.372868,4076,226810.95,558793.858926,0
1512432000000,2.5305,2.75,2.5,2.612,428655.47,1512518399999,1125838.346443,3479,224306.07,591009.242087,0
1512518400000,2.6,2.8,2.3272,2.5134,379335.63,1512604799999,970951.895214,3753,175385.81,457892.731551,0
1512604800000,2.5393,2.84,2.4001,2.6625,533510.45,1512691199999,1406348.826139,4762,324979.04,867552.113807,0
1512691200000,2.6489,2.8,2.206,2.79,649804.35,1512777599999,1643051.586987,7144,283879.56,741396.96443,0
1512777600000,2.789,2.81,2.1777,2.65,477826.16,1512863999999,1195662.19831,5654,191521.98,492694.44298,0
1512864000000,2.65,2.6648,2.1315,2.4619,562267.17,1512950399999,1346922.162266,5762,223899.97,545211.505988,0
1512950400000,2.4616,2.78,2.4505,2.687,381605.55,1513036799999,1008639.185552,4051,219015.46,581388.329972,0
1513036800000,2.687,2.7397,2.4545,2.5547,541865.92,1513123199999,1418968.928439,5319,173439.41,459385.723125,0
1513123200000,2.5547,2.74,2.265,2.719,702146.43,1513209599999,1805890.315819,7201,288431.22,751735.921251,0
1513209600000,2.7194,3.1521,2.6981,3.1519,998488.09,1513295999999,2897004.542185,7170,643753.8,1879878.447535,0
1513296000000,3.1518,4.399,2.99,4.12,919574.18,1513382399999,3307473.578784,8392,497883.11,1812034.729126,0
1513382400000,4.16,4.7201,3.8172,4.6378,775606.79,1513468799999,3319650.86142,8242,374942.15,1619757.318879,0
1513468800000,4.63,6.7,4.596,5.999,1555662.04,1513555199999,8931149.054843,18354,726257.1,4185398.833218,0
1513555200000,5.999,6.1,4.75,6.0,1430171.07,1513641599999,7898873.16033,15041,571824.01,3183592.306176,0
1513641600000,5.98,6.463,5.2725,5.6999,1784870.53,1513727999999,10454908.076245,18851,814485.7,4820580.770923,0
1513728000000,5.69,5.7,4.68,5.1502,1397302.05,1513814399999,7254130.949526,14265,489637.44,2570916.658038,0
1513814400000,5.1819,5.6899,4.42,5.1596,996548.76,1513900799999,5040755.016606,11172,474716.83,2395375.533881,0
1513900800000,5.1596,5.1996,3.25,4.2912,1599471.66,1513987199999,6727001.091803,17670,686165.77,2903590.965342,0
1513987200000,4.2912,4.998,4.17,4.4,964500.62,1514073599999,4432830.069613,16774,491669.28,2270020.563878,0
1514073600000,4.4,5.2,3.8,5.181,1047106.95,1514159999999,4706891.053183,46818,603779.33,2711662.814798,0
1514160000000,5.1899,6.88,5.029,6.4631,1480881.6,1514246399999,8940235.580009,36765,778999.96,4733735.316554,0
1514246400000,6.4631,10.793,6.35,9.254,3081660.72,1514332799999,25800543.063661,72074,1697920.88,14190770.201242,0
1514332800000,9.2861,11.3,8.2605,10.0731,2851073.22,1514419199999,27989687.572451,64300,1377360.05,13581639.719565,0
1514419200000,10.07,10.25,7.8,9.25,2593236.47,1514505599999,22221179.907645,165192,1229768.43,10532163.418275,0
1514505600000,9.28,9.802,8.39,8.7094,1401565.33,1514591999999,12573057.266305,30865,667814.59,6007021.320796,0
1514592000000,8.6808,8.7094,6.9301,7.5947,1648305.01,1514678399999,12799185.75526,32178,618466.27,4761697.58732,0
1514678400000,7.5783,8.798,7.5175,8.53,1289214.15,1514764799999,10608475.154,31704,699950.53,5775400.054501,0
1514764800000,8.5478,8.7,7.8,8.45,654338.84,1514851199999,5400587.859207,20279,284543.08,2353359.331344,0
1514851200000,8.45,9.1133,8.0922,8.715,1262633.42,1514937599999,10811231.71794,33193,570796.29,4897457.10487,0
1514937600000,8.7151,9.4697,8.2653,9.304,947392.65,1515023999999,8256005.928083,27401,458242.42,4008115.06458,0
1515024000000,9.304,9.6511,8.5595,9.143,964494.94,1515110399999,8720171.270568,28847,441178.83,4008049.542355,0
1515110400000,9.135,16.8172,8.9651,14.8908,2764977.04,1515196799999,34978202.423947,51841,1602589.46,20568644.635655,0
1515196800000,14.8908,23.6,14.6999,22.6,3130487.22,1515283199999,57138637.819288,70041,1771812.52,32876634.524985,0
1515283200000,22.6,22.6599,18.05,18.594,1543764.49,1515369599999,31345967.063744,46194,708776.55,14454828.424107,0
1515369600000,18.5375,19.2999,14.0018,17.9971,2112065.22,1515455999999,36185866.152152,49814,914759.61,15772386.129404,0
1515456000000,18.04,20.6114,16.435,17.399,1309277.95,1515542399999,23915578.639132,42380,583909.64,10759858.496168,0
1515542400000,17.3992,17.5554,14.6004,17.5,1172651.15,1515628799999,18789438.19822,42308,492674.28,7935495.943081,0
1515628800000,17.5,23.1079,13.66,21.2024,3542366.83,1515715199999,66194432.305624,88612,2166202.35,41150574.954945,0
1515715200000,21.1022,25.18,19.1,22.1999,2902338.37,1515801599999,65523685.059818,86735,1365957.48,30737213.94641,0
1515801600000,22.1999,23.4998,21.04,22.0246,1080455.71,1515887999999,23892359.656603,44230,467575.41,10377178.212766,0
1515888000000,22.0252,22.1,18.21,20.4541,1384083.33,1515974399999,27604526.761593,42782,665685.96,13230835.395014,0
1515974400000,20.4546,23.231,19.0113,19.3396,2288556.77,1516060799999,48015494.101221,66566,1169272.59,24767179.142275,0
1516060800000,19.4376,19.4475,9.89,13.1996,9933431.45,1516147199999,139644539.595996,147935,4334479.85,61231872.237437,0
1516147200000,13.0262,15.7,9.4001,14.1998,9971697.17,1516233599999,122414802.672386,142631,4982836.89,61525790.212851,0
1516233600000,14.1191,15.9,13.0203,14.1397,6699252.37,1516319999999,97652794.246735,118654,3287597.88,48019515.817519,0
1516320000000,14.0405,15.4799,13.501,14.9447,3004070.17,1516406399999,43859906.146541,62345,1560977.49,22808330.867832,0
1516406400000,14.9447,16.68,14.8249,16.1712,2617140.33,1516492799999,41482318.428964,57285,1314236.78,20830639.113968,0
1516492800000,16.1602,16.26,13.0339,14.1334,3318363.34,1516579199999,47611231.712227,71698,1412787.57,20310536.117059,0
1516579200000,14.1334,14.4978,11.6101,12.91,2873190.83,1516665599999,37462952.575597,64756,1217532.07,15864567.85486,0
1516665600000,12.9149,13.9,11.637,13.1022,2335831.96,1516751999999,30111386.35554,56423,1143458.17,14805121.981826,0
1516752000000,13.1494,14.3,12.6,13.8,1947186.76,1516838399999,26281710.580195,49234,964474.62,13037708.386372,0
1516838400000,13.7998,14.1516,13.01,13.1905,1427643.05,1516924799999,19412612.638806,39298,611524.95,8319211.544083,0
1516924800000,13.1905,13.5989,12.01,13.1344,1788845.56,1517011199999,22953959.42558,43843,820913.77,10537197.559583,0
1517011200000,13.169,13.551,12.85,13.3994,992878.39,1517097599999,13146032.477264,27493,496983.79,6587591.979455,0
1517097600000,13.3991,14.0235,13.3,13.7739,1377401.9,1517183999999,18904156.176433,37047,627386.18,8620370.250697,0
1517184000000,13.7739,13.87,12.739,12.815,857953.21,1517270399999,11323433.168136,36407,283251.99,3746954.822087,0
1517270400000,12.8295,12.98,11.11,11.4749,1322539.56,1517356799999,15867521.227454,60334,439960.55,5273927.891413,0
1517356800000,11.46,11.5483,10.553,11.3131,947115.48,1517443199999,10484378.715139,51311,372638.92,4119751.826771,0
1517443200000,11.3131,11.45,8.63,9.5138,2169016.01,1517529599999,21324215.619029,79432,874671.94,8598497.827827,0
1517529600000,9.5138,10.749,7.3,9.7484,4023356.31,1517615999999,36505514.477761,121757,1824629.29,16598818.279956,0
1517616000000,9.7485,10.354,8.5818,9.7252,2348921.72,1517702399999,22613977.150025,89047,1174331.38,11300838.136596,0
1517702400000,9.7497,9.7527,8.012,8.3511,2015678.77,1517788799999,17956277.488154,69602,843918.78,7510381.701155,0
1517788800000,8.4003,8.6005,6.0801,6.7315,3127797.46,1517875199999,22662358.507084,90071,1421558.59,10365366.764574,0
1517875200000,6.7216,8.6,5.5233,8.263,6158895.87,1517961599999,43465082.516216,157259,2973180.89,21067761.905364,0
1517961600000,8.2502,9.236,7.28,8.0647,4409292.58,1518047999999,36944818.075555,125841,2131197.98,17885974.693965,0
1518048000000,8.0979,8.3887,8.0012,8.2791,91986.49,1518049695786,759169.472181,1930,60463.29,499188.719546,0
1518134400000,8.2791,10.0,8.279,9.86,2406640.35,1518220799999,22679154.338403,62867,1163018.29,10977817.926717,0
1518220800000,9.86,10.4444,8.767,9.2448,3349144.7,1518307199999,32153679.13439,93350,1625337.09,15612809.339692,0
1518307200000,9.2501,9.5,8.02,8.674,3021732.48,1518393599999,26487879.882144,116910,1485610.23,13028698.962832,0
1518393600000,8.6739,9.4348,8.659,9.3389,1912462.38,1518479999999,17582215.104663,94865,972130.85,8943207.538905,0
1518480000000,9.339,9.36,8.7306,9.016,1365850.96,1518566399999,12322372.961558,60462,605440.05,5462914.607804,0
1518566400000,9.0001,10.65,8.953,10.4096,2568177.67,1518652799999,24867818.305358,88417,1329493.95,12886506.985327,0
1518652800000,10.4063,11.29,9.9784,10.8661,4236021.22,1518739199999,45428000.507594,140707,2083884.91,22374914.773176,0
1518739200000,10.8784,11.25,10.3,11.25,1968986.94,1518825599999,21239028.809381,76064,973752.07,10521479.816278,0
1518825600000,11.2054,11.8461,10.85,11.66,2278513.2,1518911999999,26288227.895486,84738,1105011.59,12758204.991834,0
1518912000000,11.6827,11.6827,10.5819,10.6631,2183910.15,1518998399999,24076691.296683,83390,1063569.11,11734259.279323,0
1518998400000,10.6631,11.1899,10.5398,11.0601,1336755.03,1519084799999,14693133.116507,58477,681805.04,7498219.507436,0
1519084800000,11.0699,11.2,9.68,9.8888,2357501.48,1519171199999,25120547.905454,83560,978445.0,10412029.688544,0
1519171200000,9.8888,10.2252,9.045,9.3799,2277445.93,1519257599999,21918750.268079,90850,1100803.5,10593516.726432,0
1519257600000,9.395,9.8129,8.6203,8.86,1792778.94,1519343999999,16364492.720244,75059,834506.06,7627316.520246,0
1519344000000,8.8474,9.7301,8.6,9.693,1621549.49,1519430399999,14877321.473729,66343,834178.19,7659720.559456,0
1519430400000,9.7,9.8379,8.6902,9.0873,1356848.25,1519516799999,12541275.414407,58144,661348.72,6127336.920283,0
1519516800000,9.1161,9.47,8.9,9.35,888973.06,1519603199999,8166986.474999,34258,423257.39,3895815.256979,0
1519603200000,9.3677,10.0999,9.09,9.9199,1266163.05,1519689599999,12220016.044725,50516,601755.59,5797694.092321,0
1519689600000,9.9199,11.1111,9.7713,10.56,2377225.58,1519775999999,25366239.499568,75277,1172440.27,12510455.287161,0
1519776000000,10.56,11.1743,10.3295,10.4536,1610363.07,1519862399999,17222788.462377,57703,804217.22,8619434.855496,0
1519862400000,10.4641,10.68,10.3245,10.4768,1224834.48,1519948799999,12865720.182066,44634,536528.93,5638941.687783,0
1519948800000,10.4715,10.585,10.1136,10.2348,710198.47,1520035199999,7352923.498799,32059,289560.5,2994478.346837,0
1520035200000,10.2347,10.4694,10.1171,10.2399,636280.81,1520121599999,6565327.501765,28791,257252.84,2657349.264558,0
1520121600000,10.2399,10.4239,9.8501,10.4139,591499.65,1520207999999,5999839.606848,28561,333802.44,3395856.11474,0
1520208000000,10.4139,10.4533,10.0847,10.0847,467389.77,1520294399999,4817003.637165,26636,241363.19,2492333.828443,0
1520294400000,10.084,10.134,9.1025,9.3899,939994.7,1520380799999,9004310.681736,36492,500897.69,4782985.735328,0
1520380800000,9.3899,10.2114,8.11,9.0405,2930631.06,1520467199999,26852891.548299,82063,1522921.14,13984839.058037,0
1520467200000,9.0446,9.1921,8.0211,8.2703,1878677.62,1520553599999,15950752.244674,64654,898321.21,7651523.135518,0
1520553600000,8.2703,8.3421,7.06,8.2807,1949612.67,1520639999999,14901604.200198,75679,989550.72,7563547.011727,0
1520640000000,8.2951,8.3498,7.5553,7.65,2213393.39,1520726399999,17878163.37168,46906,1221142.18,9871058.770142,0
1520726400000,7.65,8.423,7.2,8.268,2660649.85,1520812799999,21201501.075759,51059,1494073.62,11932374.775929,0
1520812800000,8.2679,8.4988,7.66,8.034,2529859.67,1520899199999,20891213.106571,44596,1399740.02,11580727.00424,0
1520899200000,8.0204,11.0,7.8055,10.2188,7227864.56,1520985599999,69292853.792193,147241,3934692.76,37583019.922512,0
1520985600000,10.1999,10.6753,8.5,8.9243,5154134.62,1521071999999,50429708.105629,113508,2737653.92,26914738.470983,0
1521072000000,8.915,9.4486,8.3,9.1047,4274358.77,1521158399999,38290247.370829,85283,2147644.29,19265435.040743,0
1521158400000,9.1074,9.38,8.55,9.0645,4046429.23,1521244799999,36778757.583016,52658,2201661.12,19981726.892865,0
1521244800000,9.1043,9.471,8.6245,8.9231,3951199.27,1521331199999,35664698.273175,50213,2124570.93,19152630.250043,0
1521331200000,8.9256,8.98,7.8,8.9648,3959581.29,1521417599999,33053790.205281,83905,2047368.75,17101997.184492,0
1521417600000,8.9664,9.4,8.45,9.035,3907835.7,1521503999999,34486023.701827,78120,2146025.27,18964065.122319,0
1521504000000,9.035,9.2888,8.6001,9.1618,3926209.35,1521590399999,35159668.439161,64516,2011239.45,18017935.128938,0
1521590400000,9.1865,10.3383,9.01,9.9777,4959307.31,1521676799999,47849842.97735,89984,2602158.32,25136701.357964,0
1521676800000,9.9729,10.94,9.47,10.0806,4709042.44,1521763199999,47848987.776693,107559,2300794.47,23410668.48882,0
1521763200000,10.0614,11.98,9.5,11.7397,5510835.71,1521849599999,58744458.384913,114219,2873810.64,30690279.302025,0
1521849600000,11.7158,14.9444,11.5314,13.2398,8441747.33,1521935999999,109966022.967657,183565,4314061.31,56139339.869612,0
1521936000000,13.2398,14.26,12.4771,12.95,6175307.17,1522022399999,82161202.42043,137232,2940644.94,39137650.564152,0
1522022400000,12.95,13.04,10.8189,12.05,5486492.23,1522108799999,65134074.948887,111254,2822593.77,33570260.705871,0
1522108800000,12.01,12.23,10.83,11.5404,4077306.58,1522195199999,47085538.256193,93422,1978793.5,22906084.039967,0
1522195200000,11.5404,12.235,11.31,11.6888,3219334.4,1522281599999,37792501.912111,63096,1591757.44,18693459.208646,0
1522281600000,11.687,11.7494,10.11,10.1877,3602154.55,1522367999999,39276255.097276,98029,1803152.27,19722349.498457,0
1522368000000,10.1877,10.8769,9.6305,10.3955,3795257.43,1522454399999,38548819.307562,134622,1928682.07,19625070.012673,0
1522454400000,10.4,11.4836,10.25,11.051,4177534.21,1522540799999,45663753.203284,90096,2118163.83,23149678.871678,0
1522540800000,11.0599,11.3106,10.3002,11.0767,4095797.21,1522627199999,44633665.77944,91391,2218471.45,24208904.738651,0
1522627200000,11.0956,12.68,10.9815,12.5996,4507155.16,1522713599999,53481043.8005,93935,2295314.86,27181045.298603,0
1522713600000,12.5996,13.9701,12.2114,13.305,5149823.24,1522799999999,68261762.427423,123247,2550063.1,33808966.599863,0
1522800000000,13.2788,13.4889,12.0,12.21,5112820.69,1522886399999,64097901.423755,133806,2373126.1,29782537.155206,0
1522886400000,12.2098,12.65,12.093,12.4888,4295442.59,1522972799999,53212219.531211,76267,2150960.45,26672914.91695,0
1522972800000,12.4888,12.7001,12.0115,12.2599,3151837.66,1523059199999,38651401.407442,51383,1761833.44,21614044.244718,0
1523059200000,12.26,12.6487,12.22,12.5,3256833.91,1523145599999,40619324.091952,51303,1717405.06,21423166.901724,0
1523145600000,12.5,12.5216,12.11,12.1311,3085224.78,1523231999999,37945714.872477,47888,1733940.95,21331585.161224,0
1523232000000,12.1244,12.55,11.51,11.8888,3011093.55,1523318399999,36295327.01358,77270,1488630.64,17958858.37108,0
1523318400000,11.8832,12.441,11.77,12.0904,3449392.51,1523404799999,41694196.558433,61241,1596454.66,19317831.167068,0
1523404800000,12.1121,12.33,11.77,12.33,3394146.16,1523491199999,40544573.621479,49233,1710696.67,20443487.244931,0
1523491200000,12.33,13.034,11.85,13.0087,4889173.13,1523577599999,60784049.312556,112448,2536867.62,31569477.620815,0
1523577600000,13.0087,13.82,12.6961,13.52,5339975.42,1523663999999,70417293.134669,113035,2837794.69,37449400.642436,0
1523664000000,13.52,13.88,12.9174,13.2888,3521128.98,1523750399999,47242696.623243,65929,1881261.34,25286092.919801,0
1523750400000,13.2865,13.62,12.9,13.0989,3854973.61,1523836799999,50966457.161287,78848,1771348.15,23465247.361196,0
