datetime,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735660800000,710.57,712.88,708.76,711.79,6819.092,1735664399000,4848649.03419,29158,3039.696,2161344.53142,0.0
1735664400000,711.79,711.89,700.41,704.83,20684.963,1735667999000,14557923.5843,53745,8960.289,6307061.50994,0.0
1735668000000,704.84,706.34,703.1,704.11,6519.445,1735671599000,4592794.89592,27863,2635.126,1856435.61633,0.0
1735671600000,704.1,705.17,702.16,703.39,6510.849,1735675199000,4581781.69161,16273,2403.592,1691879.98232,0.0
1735675200000,703.38,704.8,701.42,702.51,2492.779,1735678799000,1752464.54026,16881,1192.872,838636.01429,0.0
1735678800000,702.51,703.6,701.36,702.8,3784.575,1735682399000,2658704.20301,13484,1848.901,1298968.31884,0.0
1735682400000,702.81,702.81,699.72,701.07,14877.857,1735685999000,10422984.75977,16820,7686.39,5384462.32727,0.0
1735686000000,701.07,702.69,699.39,702.3,4775.59,1735689599000,3347140.51959,16858,2166.249,1518432.05739,0.0
1735689600000,702.31,711.5,701.46,709.12,9224.971,1735693199000,6523897.05732,24107,6632.816,4694170.14081,0.0
1735693200000,709.11,710.84,707.12,708.35,7131.072,1735696799000,5059008.04699,19170,3568.369,2531510.98337,0.0
1735696800000,708.35,710.97,708.13,709.54,5672.372,1735700399000,4025529.36609,17256,2941.524,2087624.94757,0.0
1735700400000,709.55,710.1,705.25,705.58,5811.696,1735703999000,4111756.96227,14637,2461.414,1741671.76406,0.0
1735704000000,705.58,705.91,704.32,704.77,2535.66,1735707599000,1788135.40827,13167,1344.109,947871.78604,0.0
1735707600000,704.77,706.16,704.5,705.58,2653.027,1735711199000,1870836.5168,12295,1613.774,1137777.51776,0.0
1735711200000,705.57,706.6,704.8,706.59,2554.735,1735714799000,1802803.78606,10000,1202.792,848819.12686,0.0
1735714800000,706.6,706.6,703.49,703.75,3815.636,1735718399000,2688598.71126,12716,1371.747,966297.74851,0.0
1735718400000,703.75,704.48,702.12,703.06,5612.99,1735721999000,3947916.9562,17113,2626.54,1847449.82312,0.0
1735722000000,703.06,704.89,700.3,703.73,6961.785,1735725599000,4888294.13984,26654,3321.12,2332019.1206,0.0
1735725600000,703.74,708.59,702.48,707.23,8677.928,1735729199000,6125527.47982,26703,4249.563,2999492.67154,0.0
1735729200000,707.22,709.31,706.41,707.57,5923.8,1735732799000,4195166.8566,24539,3050.545,2160322.44818,0.0
