datetime,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735660800000,198.44,199.21,197.55,198.95,132493.701,1735664399000,26295230.55816,64900,65197.257,12940598.03486,0.0
1735664400000,198.95,199.27,194.02,196.1,178957.511,1735667999000,35111583.78707,91308,75383.604,14803305.56971,0.0
1735668000000,196.1,196.68,194.49,194.67,86493.154,1735671599000,16913468.80374,56453,45144.743,8828705.57614,0.0
1735671600000,194.67,195.17,193.22,193.81,62918.014,1735675199000,12212708.75875,39495,31724.159,6158059.44587,0.0
1735675200000,193.81,194.82,193.76,194.02,65111.228,1735678799000,12654168.23079,41871,35287.908,6859065.47654,0.0
1735678800000,194.02,194.37,192.5,193.16,76647.337,1735682399000,14802916.83125,33898,32263.665,6234230.98195,0.0
1735682400000,193.15,193.15,190.71,191.13,112574.782,1735685999000,21616596.3825,37992,61355.107,11787244.76048,0.0
1735686000000,191.14,191.2,189.2,189.31,135872.73,1735689599000,25821431.95549,49823,65660.472,12474321.53112,0.0
1735689600000,189.31,192.66,189.08,192.54,109512.364,1735693199000,20911201.78025,46813,62624.927,11958559.88245,0.0
1735693200000,192.54,192.64,190.39,190.7,66529.126,1735696799000,12739027.08647,34908,33305.16,6377631.08505,0.0
1735696800000,190.7,192.04,190.44,191.59,65814.347,1735700399000,12585213.50726,31017,39014.188,7459108.54962,0.0
1735700400000,191.59,191.59,190.04,190.43,58528.042,1735703999000,11163173.28736,23586,29108.653,5551073.85715,0.0
1735704000000,190.42,190.43,189.32,189.47,70522.368,1735707599000,13382958.56694,28316,40432.148,7672097.01871,0.0
1735707600000,189.48,190.62,189.35,190.15,44126.517,1735711199000,8392411.88882,22955,26535.76,5046561.54777,0.0
1735711200000,190.15,190.31,189.4,190.3,37963.874,1735714799000,7208124.73206,19969,21782.038,4135292.60265,0.0
1735714800000,190.29,190.35,189.7,190.06,47757.379,1735718399000,9074100.1818,20177,28403.247,5395971.76075,0.0
1735718400000,190.06,190.74,189.3,189.4,57206.089,1735721999000,10866368.94266,27858,36413.213,6917214.12386,0.0
1735722000000,189.4,189.76,188.0,189.18,90289.829,1735725599000,17037618.58189,40169,36102.591,6813051.50433,0.0
1735725600000,189.19,191.03,189.17,190.24,71994.807,1735729199000,13692628.8961,32419,44579.943,8475303.07392,0.0
1735729200000,190.25,191.86,189.89,191.36,63070.217,1735732799000,12047959.0239,35875,36700.118,7011275.87362,0.0
1735732800000,191.35,191.75,190.42,190.95,85511.631,1735736399000,16343511.4186,34862,42969.528,8212956.624,0.0
1735736400000,190.94,191.29,189.59,190.25,79164.615,1735739999000,15052927.06472,38545,37301.013,7092672.19877,0.0
1735740000000,190.24,191.48,189.14,190.88,68958.644,1735743599000,13133183.70063,46941,33981.018,6471993.46626,0.0
1735743600000,190.88,192.15,189.98,191.91,69944.069,1735747199000,13366573.85865,41646,38143.102,7290881.08893,0.0
1735747200000,191.91,192.25,190.08,190.51,61361.767,1735750799000,11723044.84762,43082,26193.622,5004856.30332,0.0
1735750800000,190.52,190.65,189.25,190.64,67078.185,1735754399000,12740127.25347,40722,29887.475,5676363.89864,0.0
1735754400000,190.63,192.23,189.89,191.68,62362.621,1735757999000,11923572.74057,43605,33807.573,6465626.64571,0.0
1735758000000,191.69,193.91,191.49,193.1,102185.899,1735761599000,19695682.99774,57293,47559.45,9168366.04308,0.0
1735761600000,193.1,194.56,193.1,194.36,75579.707,1735765199000,14654001.84462,46859,38642.583,7492028.79542,0.0
1735765200000,194.36,195.33,193.71,194.69,83968.819,1735768799000,16335720.29233,48134,37224.407,7243378.81621,0.0
1735768800000,194.68,194.95,193.68,194.53,62287.96,1735772399000,12102321.22877,26417,30239.31,5876255.71718,0.0
1735772400000,194.54,195.16,193.81,194.28,53441.226,1735775999000,10386977.98376,32856,26630.734,5176378.88091,0.0
1735776000000,194.28,197.17,193.43,196.25,150184.717,1735779599000,29375988.82985,90559,77934.879,15241443.56779,0.0
1735779600000,196.25,198.47,196.11,197.71,132435.782,1735783199000,26147742.83463,73450,76172.028,15040412.84634,0.0
1735783200000,197.7,199.42,197.47,199.41,190538.571,1735786799000,37808879.49167,57967,98788.933,19607347.72256,0.0
1735786800000,199.41,199.7,197.8,198.54,123139.17,1735790399000,24447574.57322,40841,57271.926,11373029.56962,0.0
1735790400000,198.55,204.84,198.54,204.47,303074.466,1735793999000,61341204.76841,111347,179676.483,36339581.97134,0.0
1735794000000,204.47,205.5,203.31,204.62,140873.482,1735797599000,28808040.34055,73290,72059.666,14743850.934,0.0
1735797600000,204.63,205.97,203.96,205.36,180708.112,1735801199000,37014210.05625,60817,100326.236,20547424.55008,0.0
1735801200000,205.36,206.89,205.2,205.91,194280.905,1735804799000,40012010.31359,60757,101980.871,20999781.26951,0.0
