datetime,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735660800000,2.1285,2.1295,2.1056,2.1201,9095444.0,1735664399000,19260751.3901,44941,3917932.0,8299492.8024,0.0
1735664400000,2.1201,2.1205,2.0616,2.0875,15613205.0,1735667999000,32570914.2642,76594,6303838.0,13152001.2334,0.0
1735668000000,2.0874,2.1048,2.0845,2.0876,6988934.0,1735671599000,14641041.2419,38629,3624837.0,7593949.7896,0.0
1735671600000,2.0877,2.0957,2.0796,2.0918,3406149.0,1735675199000,7112240.6377,27542,1645673.0,3437002.4594,0.0
1735675200000,2.0918,2.1052,2.0907,2.1003,3978927.0,1735678799000,8351741.2481,23437,1846600.0,3876457.7532,0.0
1735678800000,2.1002,2.105,2.0886,2.0982,3576364.0,1735682399000,7505774.528,22742,1459968.0,3064885.313,0.0
1735682400000,2.0982,2.103,2.0736,2.0788,4042114.0,1735685999000,8448550.5501,21185,1740482.0,3640087.6433,0.0
1735686000000,2.0789,2.0884,2.0737,2.0836,3329438.0,1735689599000,6928109.6394,22656,1398737.0,2910847.7614,0.0
1735689600000,2.0836,2.1125,2.0811,2.1106,8271344.0,1735693199000,17374141.5966,33860,5160045.0,10841067.4179,0.0
1735693200000,2.1106,2.1112,2.0929,2.0943,4301257.0,1735696799000,9040716.9652,22246,2116499.0,4450890.1929,0.0
1735696800000,2.0944,2.106,2.0929,2.1058,3680119.0,1735700399000,7732289.5671,17514,2200867.0,4625161.4601,0.0
1735700400000,2.1057,2.1087,2.1003,2.1069,1788392.0,1735703999000,3763727.8986,12375,953781.0,2007192.9417,0.0
1735704000000,2.1069,2.1131,2.1003,2.1027,2890478.0,1735707599000,6086947.5778,17188,1190500.0,2506851.5079,0.0
1735707600000,2.1028,2.1494,2.0999,2.1358,10844247.0,1735711199000,23082408.6488,45038,6212507.0,13225645.9317,0.0
1735711200000,2.1358,2.1474,2.1303,2.1439,6898622.0,1735714799000,14754481.5311,33099,3458466.0,7397621.0025,0.0
1735714800000,2.144,2.144,2.1244,2.1246,4690301.0,1735718399000,10004707.215,22527,1609947.0,3435079.1818,0.0
1735718400000,2.1246,2.135,2.1081,2.1103,6392440.0,1735721999000,13551603.4666,28240,2640419.0,5597116.678,0.0
1735722000000,2.1103,2.1164,2.0901,2.1052,9439821.0,1735725599000,19820610.556,40126,3944120.0,8285874.7672,0.0
1735725600000,2.1053,2.1184,2.1053,2.109,5102665.0,1735729199000,10774685.5179,21523,3064654.0,6471504.254,0.0
1735729200000,2.109,2.1439,2.1021,2.1357,8875657.0,1735732799000,18891600.5126,42072,4799963.0,10213168.2717,0.0
1735732800000,2.1358,2.1737,2.1312,2.1679,15511957.0,1735736399000,33443460.0079,61748,8409400.0,18133100.1115,0.0
1735736400000,2.1679,2.185,2.1587,2.1653,14886067.0,1735739999000,32328680.884,63006,7192557.0,15631791.5543,0.0
1735740000000,2.1653,2.1855,2.1605,2.174,12290672.0,1735743599000,26730179.2272,54613,7076106.0,15393311.9907,0.0
1735743600000,2.174,2.234,2.1626,2.2283,22707165.0,1735747199000,50067887.0422,91807,12014242.0,26494475.541,0.0
1735747200000,2.2283,2.2842,2.2219,2.2635,39073764.0,1735750799000,88310688.2739,169615,19478249.0,44024839.5213,0.0
1735750800000,2.2635,2.2659,2.2114,2.2596,28056973.0,1735754399000,62744341.5256,106585,13952381.0,31211495.892,0.0
1735754400000,2.2596,2.3333,2.2482,2.322,32004482.0,1735757999000,73540586.431,128301,16445527.0,37783250.7114,0.0
1735758000000,2.3219,2.342,2.2884,2.3172,34931200.0,1735761599000,80816584.9253,125655,16768840.0,38825920.1191,0.0
1735761600000,2.3172,2.3196,2.2957,2.3068,13445771.0,1735765199000,31014964.2533,63573,6349425.0,14648772.6931,0.0
1735765200000,2.3067,2.33,2.2867,2.3207,21553733.0,1735768799000,49813277.8952,76912,11304493.0,26134467.7558,0.0
1735768800000,2.3205,2.3545,2.2982,2.3493,17779448.0,1735772399000,41370269.8531,61330,8941495.0,20820774.0314,0.0
1735772400000,2.3494,2.3521,2.314,2.3328,15353699.0,1735775999000,35773218.9431,64570,7445653.0,17345814.0119,0.0
1735776000000,2.3329,2.4522,2.3297,2.3887,67760691.0,1735779599000,163310083.1298,254632,34946819.0,84197325.0924,0.0
1735779600000,2.3887,2.4119,2.3707,2.4008,25466622.0,1735783199000,61007624.7829,96641,11805552.0,28284657.0092,0.0
1735783200000,2.4007,2.4164,2.3868,2.4054,17588435.0,1735786799000,42231041.4071,65245,8183468.0,19653888.5034,0.0
1735786800000,2.4053,2.4299,2.4001,2.4249,14477747.0,1735790399000,34976537.2177,52989,7754323.0,18748396.4584,0.0
1735790400000,2.4249,2.4282,2.399,2.4001,14126612.0,1735793999000,34125954.7215,62150,6660549.0,16089669.6681,0.0
